1.335147392	294.197	[1] 
1.340952381	294.211	[1] 
1.346757370	294.322	[1] 
1.352562358	294.165	[1] 
1.358367347	294.04	[1] 
1.364172336	294.019	[1] 
1.369977324	294.01	[1] 
1.375782313	294.082	[1] 
1.381587302	294.077	[1] 
1.387392290	294.157	[1] 
1.393197279	294.211	[1] 
1.399002268	294.214	[1] 
1.404807256	294.231	[1] 
1.410612245	294.193	[1] 
1.416417234	294.121	[1] 
1.422222222	294.099	[1] 
1.428027211	294.093	[1] 
1.433832200	294.232	[1] 
1.439637188	294.22	[1] 
1.445442177	294.232	[1] 
1.451247166	294.305	[1] 
1.457052154	294.176	[1] 
1.462857143	294.171	[1] 
1.468662132	294.078	[1] 
1.474467120	294.219	[1] 
1.480272109	294.341	[1] 
1.486077098	292.268	[1] 
1.491882086	309.474	[1] 
1.497687075	317.505	[1] 
1.503492063	323.799	[1] 
1.509297052	325.129	[1] 
1.515102041	328.752	[1] 
1.520907029	328.799	[1] 
1.526712018	328.333	[1] 
1.532517007	328.355	[1] 
1.538321995	327.364	[1] 
1.544126984	328.836	[1] 
1.549931973	329.147	[1] 
1.555736961	329.102	[1] 
1.561541950	329.257	[1] 
1.567346939	328.9	[1] 
1.573151927	329.408	[1] 
1.578956916	329.89	[1] 
1.584761905	330.097	[1] 
1.590566893	328.994	[1] 
1.596371882	329.462	[1] 
1.602176871	329.85	[1] 
1.607981859	330.249	[1] 
1.613786848	330.577	[1] 
1.619591837	329.975	[1] 
1.625396825	330.166	[1] 
1.631201814	330.29	[1] 
1.637006803	330.254	[1] 
1.642811791	330.363	[1] 
1.648616780	330.357	[1] 
1.654421769	330.102	[1] 
1.660226757	330.176	[1] 
1.666031746	330.196	[1] 
1.671836735	329.817	[1] 
1.677641723	330.116	[1] 
1.683446712	330.109	[1] 
1.689251701	329.984	[1] 
1.695056689	330.069	[1] 
1.700861678	329.841	[1] 
1.706666667	330.152	[1] 
1.712471655	330.124	[1] 
1.718276644	330.088	[1] 
1.724081633	330.155	[1] 
1.729886621	330.17	[1] 
1.735691610	330.337	[1] 
1.741496599	330.416	[1] 
1.747301587	330.206	[1] 
1.753106576	330.079	[1] 
1.758911565	330.1	[1] 
1.764716553	330.005	[1] 
1.770521542	330.153	[1] 
1.776326531	330.298	[1] 
1.782131519	330.368	[1] 
1.787936508	330.533	[1] 
1.793741497	330.384	[1] 
1.799546485	330.284	[1] 
1.805351474	330.22	[1] 
1.811156463	330.105	[1] 
1.816961451	330.235	[1] 
1.822766440	330.087	[1] 
1.828571429	330.102	[1] 
1.834376417	330.03	[1] 
1.840181406	330.179	[1] 
1.845986395	330.404	[1] 
1.851791383	330.22	[1] 
1.857596372	330.146	[1] 
1.863401361	329.972	[1] 
1.869206349	330.04	[1] 
1.875011338	330.193	[1] 
1.880816327	330.067	[1] 
1.886621315	329.929	[1] 
1.892426304	329.934	[1] 
1.898231293	330.042	[1] 
1.904036281	330.053	[1] 
1.909841270	330.039	[1] 
1.915646259	330.182	[1] 
1.921451247	330.099	[1] 
1.927256236	330.071	[1] 
1.933061224	329.978	[1] 
1.938866213	329.842	[1] 
1.944671202	329.882	[1] 
1.950476190	329.918	[1] 
1.956281179	330.052	[1] 
1.962086168	330.08	[1] 
1.967891156	330.082	[1] 
1.973696145	330.092	[1] 
1.979501134	330.056	[1] 
1.985306122	330.29	[1] 
1.991111111	330.114	[1] 
1.996916100	330.037	[1] 
2.002721088	329.962	[1] 
2.008526077	330.105	[1] 
2.014331066	330.093	[1] 
2.020136054	330.055	[1] 
2.025941043	330.005	[1] 
2.031746032	329.95	[1] 
2.037551020	330.09	[1] 
2.043356009	330	[1] 
2.049160998	339.733	[1] 
2.054965986	336.039	[1] 
2.060770975	342.988	[1] 
2.066575964	345.333	[1] 
2.072380952	346.336	[1] 
2.078185941	346.569	[1] 
2.083990930	346.665	[1] 
2.089795918	347.151	[1] 
2.095600907	347.087	[1] 
2.101405896	350.035	[1] 
2.107210884	350.664	[1] 
2.113015873	350.192	[1] 
2.118820862	349.991	[1] 
2.124625850	348.8	[1] 
2.130430839	348.406	[1] 
2.136235828	348.451	[1] 
2.142040816	348.21	[1] 
2.147845805	348.767	[1] 
2.153650794	349.423	[1] 
2.159455782	349.98	[1] 
2.165260771	350.412	[1] 
2.171065760	350.232	[1] 
2.176870748	349.499	[1] 
2.182675737	349.057	[1] 
2.188480726	348.8	[1] 
2.194285714	348.8	[1] 
2.200090703	348.803	[1] 
2.205895692	349.261	[1] 
2.211700680	349.613	[1] 
2.217505669	349.542	[1] 
2.223310658	349.354	[1] 
2.229115646	349.289	[1] 
2.234920635	349.045	[1] 
2.240725624	349.253	[1] 
2.246530612	349.285	[1] 
2.252335601	349.367	[1] 
2.258140590	349.671	[1] 
2.263945578	349.662	[1] 
2.269750567	349.89	[1] 
2.275555556	349.685	[1] 
2.281360544	349.456	[1] 
2.287165533	349.399	[1] 
2.292970522	349.359	[1] 
2.298775510	349.327	[1] 
2.304580499	349.516	[1] 
2.310385488	349.431	[1] 
2.316190476	349.49	[1] 
2.321995465	349.599	[1] 
2.327800454	349.471	[1] 
2.333605442	349.38	[1] 
2.339410431	349.408	[1] 
2.345215420	349.442	[1] 
2.351020408	349.411	[1] 
2.356825397	349.336	[1] 
2.362630385	349.337	[1] 
2.368435374	349.245	[1] 
2.374240363	349.327	[1] 
2.380045351	349.296	[1] 
2.385850340	349.133	[1] 
2.391655329	349.159	[1] 
2.397460317	349.143	[1] 
2.403265306	349.271	[1] 
2.409070295	349.22	[1] 
2.414875283	349.204	[1] 
2.420680272	349.273	[1] 
2.426485261	349.333	[1] 
2.432290249	349.284	[1] 
2.438095238	349.178	[1] 
2.443900227	349.133	[1] 
2.449705215	349.119	[1] 
2.455510204	349.23	[1] 
2.461315193	349.293	[1] 
2.467120181	349.277	[1] 
2.472925170	349.197	[1] 
2.478730159	349.266	[1] 
2.484535147	349.329	[1] 
2.490340136	349.259	[1] 
2.496145125	349.251	[1] 
2.501950113	349.321	[1] 
2.507755102	349.407	[1] 
2.513560091	349.363	[1] 
2.519365079	349.391	[1] 
2.525170068	349.41	[1] 
2.530975057	349.417	[1] 
2.536780045	349.472	[1] 
2.542585034	349.337	[1] 
2.548390023	349.319	[1] 
2.554195011	349.345	[1] 
2.560000000	349.331	[1] 
2.565804989	349.454	[1] 
2.571609977	349.398	[1] 
2.577414966	349.4	[1] 
2.583219955	349.486	[1] 
2.589024943	351.773	[1] 
2.594829932	365.742	[1] 
2.600634921	380.582	[1] 
2.606439909	389.124	[1] 
2.612244898	389.434	[1] 
2.618049887	390.661	[1] 
2.623854875	390.02	[1] 
2.629659864	390.616	[1] 
2.635464853	392.044	[1] 
2.641269841	391.594	[1] 
2.647074830	391.958	[1] 
2.652879819	391.725	[1] 
2.658684807	391.356	[1] 
2.664489796	391.885	[1] 
2.670294785	392.574	[1] 
2.676099773	392.648	[1] 
2.681904762	392.619	[1] 
2.687709751	392.687	[1] 
2.693514739	392.569	[1] 
2.699319728	392.691	[1] 
2.705124717	392.175	[1] 
2.710929705	392.31	[1] 
2.716734694	392.476	[1] 
2.722539683	392.309	[1] 
2.728344671	392.493	[1] 
2.734149660	392.808	[1] 
2.739954649	392.625	[1] 
2.745759637	392.519	[1] 
2.751564626	392.52	[1] 
2.757369615	392.396	[1] 
